IdTransaccion,Fecha,IdCategoria,IdProducto,Producto,Cantidad,PrecioUnitario,TotalVenta
1,6/5/2024,1,1,Televisor 40,1,890.00,890.00
2,6/5/2024,2,2,Lavadora,1,1550.00,1550.00
3,6/5/2024,3,3,Televisor 52,2,950.00,1900.00
4,6/5/2024,4,4,Refrigerador LG,1,2750.00,2750.00
5,6/5/2024,5,5,Microondas,1,300.00,300.00
6,6/5/2024,6,6,Horno,1,600.00,600.00
7,6/5/2024,7,7,Licuadora,2,200.00,400.00
8,6/5/2024,8,8,Cafetera,1,100.00,100.00
9,6/5/2024,9,9,Tostadora,2,50.00,100.00
10,6/5/2024,10,10,Batidora,1,150.00,150.00

